ward,TIME_TO_CLOSE
1,223.65980994152045
10,211.57614657210402
11,119.88364417989418
12,141.73104166666667
13,419.35573830409356
14,145.02530612244897
15,232.99006944444443
16,202.1616352201258
17,187.56696581196582
18,280.04390625
19,267.84625868055554
2,101.30363636363636
20,251.68905555555557
21,176.13142094017093
22,208.24536805555553
23,170.52570512820515
24,234.58398919753088
25,121.53539251207731
26,149.75189814814817
27,200.02322580645162
28,6.077324519230769
29,123.47789972899729
3,148.72312260536398
30,229.11111111111111
31,146.40023015873018
32,90.09449252136753
33,153.29830555555554
34,73.6691425120773
35,163.0915157004831
36,289.0218843843844
37,200.54307588075883
38,266.47683333333333
39,170.46608585858587
4,113.90186026936026
40,141.44781362007168
41,7.2304910350448255
42,130.9739964157706
43,124.79102777777777
44,186.14955938697318
45,158.89724747474747
46,119.88484674329503
47,117.46156565656565
48,72.19968599033817
49,138.55732843137253
5,155.27809895833332
50,97.21962962962964
6,186.952680878553
7,268.56164414414417
8,143.29238095238097
9,162.75327991452994
